ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020624675;"Vue d'une ville ou un village fortifié";"ANONYME XVIIè s";;"829 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 49, dessiné au verso";
cl020624676;"Paysage avec des maisons, une tour fortifiée et un fort";"ANONYME XVIIè s";;"830 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 50, dessiné au verso";
cl020624677;"Passignano, paysage avec des maisons";"ANONYME XVIIè s";;"831 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 51, dessiné au verso";
cl020624678;"Tuoro, paysage avec maisons";"ANONYME XVIIè s";;"832 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 52, dessiné au verso";
cl020624679;"Esquisse sommaire";"ANONYME XVIIè s";;"833 DR/ Recto; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 53, dessiné au recto";
cl020624680;"Il Borgetto, paysage avec maisons";"ANONYME XVIIè s";;"833 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 53, dessiné au verso";
cl020624681;"Vue d'une ville ou d'un village sur une colline";"ANONYME XVIIè s";;"834 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 54, dessiné au verso";
cl020624682;"Groupes de soldats dont deux portent des lances";"ANONYME XVIIè s";;"835 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 55, dessiné au verso";
cl020624683;"Groupes de gentilshommes et de soldats";"ANONYME XVIIè s";;"836 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 56, dessiné au verso";
cl020624684;"Groupe d'hommes dont deux portent des tambours";"ANONYME XVIIè s";;"837 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 57, dessiné au verso";
cl020624685;"Groupe de soldats dont certains sont au repos";"ANONYME XVIIè s";;"838 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 58, dessiné au verso";
cl020624686;"Groupes d'hommes dont plusieurs portent des chapeaux et des pèlerines";"ANONYME XVIIè s";;"839 DR/ Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 59, dessiné au verso";
cl020624687;"Esquisse de personnages";"ANONYME XVIIè s";;"839 DR/1 Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 60, dessiné au verso";
cl020624688;"Groupes de personnages";"ANONYME XVIIè s";;"839 DR/2 Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 61, dessiné au verso";
cl020624689;"Note manuscrite";"ANONYME XVIIè s";;"839 DR/3 Recto; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 63, dessiné au recto";
cl020624690;"Esquisse de moulin et d'arbre et notes manuscrites";"ANONYME XVIIè s";;"839 DR/3 Verso; vol.1, p.12";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 792 DR à 839 DR, Folio 63, dessiné au verso";
cl020624691;"Note manuscrite";"ANONYME XVIè s";;"1259 DR/1 Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Recueil de costumes de diverses nations 1259 DR à 1366 DR, dessiné sur le contreplat de devant";
cl020624692;"Note manuscrite";"ANONYME XVIè s";;"1259 DR/ Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Recueil de costumes de diverses nations 1259 DR à 1366 DR, dessiné au recto";
cl020624693;"Femme en robe rouge";"ANONYME XVIè s";;"1260 DR/ Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Recueil de costumes de diverses nations 1259 DR à 1366 DR, Folio 1, dessiné au recto";
cl020624694;"Femme en robe verte et mauve";"ANONYME XVIè s";;"1261 DR/ Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Recueil de costumes de diverses nations 1259 DR à 1366 DR, Folio 2, dessiné au recto";
cl020624695;"Femme en robe noire";"ANONYME XVIè s";;"1262 DR/ Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Recueil de costumes de diverses nations 1259 DR à 1366 DR, Folio 3, dessiné au recto";
cl020624696;"Femme en robe rouge portant un long voile";"ANONYME XVIè s";;"1263 DR/ Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Recueil de costumes de diverses nations 1259 DR à 1366 DR, Folio 4, dessiné au recto";
