ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010048442;"Tyché de Constantinople";;"600 / 649  (époque byzantine)";"AF 10878; AF 10879";"Département des Arts de Byzance et des Chrétientés en Orient";"Place of discovery : Edfou";"non exposé";
cl010049217;peinture;;"époque moderne";"E 21030; MG 3531";"Département des Antiquités égyptiennes";;"non exposé";
cl010052603;Vénitienne;"Barbault, Jean ; France";"1755 / 1759  (2e tiers du XVIIIe siècle)";"RF 1948 9";"Département des Peintures";;"non exposé";
cl010052604;"Portrait de Claude François Alby, enfant";"Bally, Alexandre ; France";1827;"RF 1947 27; D 1947-2-1";"Département des Peintures";;"non exposé";
cl010052606;"La Flagellation du Christ";"Borrassà, Francesc ; Espagne";1420;"RF 1942 10";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
cl010052607;"La Diligence sous l'orage";"Lucas Velázquez, Eugenio ; Espagne";1856;"RF 1954 21; D 54 3 1";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
cl010052608;"La Fusillade";"Lucas Velázquez, Eugenio ; Espagne";1869;"RF 1954 22; D 54 3 2";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
cl010052609;"Ecce Homo ou Christ aux liens";"Anonyme ; Espagne ; Morales, Luis de";"1500 / 1600  (XVIe siècle)";"RF 1950 22";"Département des Peintures";;"non exposé";
cl010052610;"La Vierge et l'enfant";"Espagne ; Murillo, Bartolomé Esteban";"1648 / 1650  (Milieu du XVIIe siècle)";"INV 929; MR 358; D 49-3-1";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
cl010052612;"Saint François réconforté par un ange";"Espagne ; Ribalta, Francisco de";"1600 / 1650  (1e moitié du XVIIe siècle)";"RF 1953 34; D54-1-1";"Département des Peintures";;"non exposé";
cl010052613;"Hercule au repos";"Espagne ; Ribera, Jusepe de";"1600 / 1700  (XVIIe siècle)";"INV 940; B 149; D 1957-6-1";"Département des Peintures";;"Castres (France), Musée Goya";
cl010052614;"Saint Augustin";"Espagne ; Ribera, Jusepe de";1636;"RF 1952 18; D 63-2-1";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
cl010052615;"Philippe IV en chasseur";"Espagne ; Velázquez, Diego Rodríguez de Silva y";"1632 / 1634  (XVIIe siècle)";"MI 292; D 49 3 2";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
cl010052617;"Saint François en oraison";"Espagne ; Zurbarán, Francisco de";"1600 / 1700  (XVIIe siècle)";"RF 1952 21";"Département des Peintures";;"non exposé";
cl010052618;"Vierge à l'Enfant";"Anonyme ; Espagne";"1500 / 1600  (XVIe siècle)";"RF 2813; D 58 2 1";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
cl010052619;"Portrait de Marie Barbola, naine de la cour de Philippe IV";"Espagne ; Anonyme";"1600 / 1700  (XVIIe siècle)";"MI 1241";"Département des Peintures";;"Auch (France), Musée des Amériques";
cl010052620;"Nature morte au chou";"Anonyme ; Espagne";"1630 / 1650  (XVIIe siècle)";"RF 1952 19; D 52 1 1";"Département des Peintures";;"Castres (France), Musée Goya, salle d'exposition";
