ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010211190;"Deux faucons";"France ; Anonyme";"1600 / 1700  (XVIIe siècle)";"INV 1631; B 1156";"Département des Peintures";;"Fontainebleau (France), Musée national du château de Fontainebleau";
cl010211489;"Portrait de François René Molé (1734-1802), sociétaire de la Comédie-française";"Sicard, Louis-Marie ; France";"1760 / 1800  (Fin du XVIIIe siècle)";"MI 695; MV 5061; V 269";"Département des Peintures";;"non exposé";
cl010211490;"Portrait de Jean Thomas, comte de Bérulle (v. 1655-1715), lieutenant général des armées du Roy";"Largillière, Nicolas de ; France";"vers 1705";"MI 1141; MV 5269";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles, salle d'exposition";
cl010211661;"Junon et Flore";"Boullogne, Bon ; France";1701;"INV 2770; B 447; MV 8265";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010211702;"Les Reproches d'Hector à Pâris ou Hector déterminant Pâris à prendre les armes pour la défense de la patrie";"Vien, Joseph-Marie ; France";"1760 / 1800  (Fin du XVIIIe siècle)";"MR 2661";"Département des Peintures";;"Fontainebleau (France), Musée national du château de Fontainebleau";
cl010211761;"Siège de Valenciennes, 16 mars 1677.";"Van der Meulen, Adam Frans ; France";"1632 / 1690  (XVIIe siècle)";"INV 1500; P.Y. 38; MR 838; MV 6993";"Département des Peintures";;"Valenciennes (France), Musée des Beaux-Arts, salle d'exposition";
cl010211841;"Repos et désirs";"Trutat, Félix ; France";1845;"RF 1197";"Département des Peintures";;"Dijon (France), Musée des Beaux-Arts";
cl010212761;Erigone;"Tournières, Robert ; France";"après 1718";"INV 9965; B 1928; R 187; MV 8094; C 32 D 103; V 3625";"Département des Peintures";;"non exposé";
cl010212765;"Nature morte avec un perroquet becquetant des grenades";"Picard, Jean ; France";"avant 1696";"INV 8938; R 36; B 1469; C 32 D 102; MV 8095";"Département des Peintures";;"Paris (France), Palais de l'Elysée";
cl010212766;"Portrait de femme avec fleurs";"Blin de Fontenay, Jean-Baptiste ; France";"1675 / 1725  (Fin du XVIIe siècle - début du XVIIIè siècle)";"INV 8962; R 34; B 1433; MV 8096; C 32 D 101";"Département des Peintures";;"Versailles (France), Château - Domaine national de Versailles";
cl010212767;"Vase de porphyre entouré de guirlandes de fleurs printanières";"Blin de Fontenay, Jean-Baptiste ; France";"1702 / 1704  (Début du XVIIIe siècle)";"INV 6749; MR 2182; R 33; C 32 D 100; MV 8097";"Département des Peintures";;"non exposé";
cl010213207;"Plafond : Gloria Mariae Medicis, dit Le triomphe de Marie de Médicis";"Carolus-Duran ; France";1878;"INV 20030";"Département des Peintures";;"Sully, [OArt] Salle 605 - Stavros S. Niarchos";
cl010213522;"Repas de Marc-Antoine et de Cléopâtre";"Sève, Gilbert de ; France";"1671 / 1680  (XVIIe siècle)";"INV 8703 A; B 942; GOB 716";"Département des Peintures";;"Paris (France), Mobilier National et manufactures des Gobelins, de Beauvais et de la Savonnerie";
cl010213621;"Paysage avec l'histoire de Psyché dans un paysage montagneux";"Valenciennes, Pierre de ; France";1796;"RF 2014 9";"Département des Peintures";;"non exposé";
cl010213623;Pietà;"Peris, Gonçal ; Espagne ; Gonçal Peris Sarrià";"vers 1430";"RF 2014 10";"Département des Peintures";;"non exposé";
